step	train_loss	val_loss	val_f1
32	0.08569931983947754	2.7235817616445974	0.013084986821809747
3232	0.032870543161683745	0.14961049721719694	0.39425112848493205
6432	0.018728339259248616	0.08930014850495503	0.5756794586390062
9632	0.013370799857572314	0.05262522475265664	0.6329166342087564
12832	0.010722918402254953	0.050592558251033024	0.6395090403462842
16032	0.009029014177395945	0.040727036762537826	0.6673136957606774
19232	0.007838666630386237	0.04035418402570614	0.7090008215588842
22432	0.006990466843259198	0.03755421603786565	0.7111872600653915
25632	0.006287552818745931	0.03511291739715129	0.7205025304652802
28832	0.005717883895811693	0.035670168017383055	0.6439951303534969
32032	0.005314741804631176	0.03203454792881239	0.722968358845204
35232	0.004947341721195173	0.03449960730887757	0.7081661579501005
38432	0.004623239050253579	0.034052647817262666	0.7195151101550922
41632	0.004362279331784448	0.032841235644558035	0.714375455049224
44832	0.004129339256521639	0.03114366325625576	0.7179318709816864
48032	0.003930477230313991	0.03132039042738662	0.7228273712082323
51232	0.0037775637016814793	0.03298158815460094	0.7229973684939537
54432	0.003632219162177564	0.031717244464655354	0.7295916256909553
57632	0.0034965925633105373	0.029745324519004485	0.7284826647920908
60832	0.003384146751048761	0.032709967294961145	0.6990116887745659
64032	0.0032934758268513987	0.0331891544890993	0.7291511937719577
67232	0.0031986452073680337	0.03171213040344842	0.7276454948968545
70432	0.003104233588673246	0.03124496117330108	0.7173859795829296
73632	0.0030179683459681567	0.02990065465944948	0.7180435409821618
76832	0.002933470997926041	0.0283744576867973	0.7242497540885939
80032	0.002866785722591037	0.025566414527862368	0.7360363192919451
83232	0.0027989623369889627	0.025911316351958716	0.7702538307677579
86432	0.0027312644459821602	0.027893698939994126	0.7660960333024248
89632	0.002676388556664376	0.026450515232790083	0.7543728381217556
92832	0.0026290071230169023	0.02648171081221762	0.7547086462603233
96032	0.0025805525573078295	0.026352968358649868	0.774603219202157
99232	0.00253311996650104	0.025359069342195322	0.7769988476046638
102432	0.0024939879109616542	0.023656408496000886	0.7453919814111678
105632	0.0024608822812697204	0.024231663315462088	0.772177251552763
108832	0.0024239900613765987	0.026945911814435067	0.7552846581196593
112032	0.002387434189688036	0.023222325053715038	0.7710929613306998
115232	0.002348365755897531	0.024965309593431673	0.7715920169071319
